Username,Handle,Timestamp,Comments,Likes,Retweets,Text
One America News,@OANN,2020-12-15T15:00:04.000Z,"Report: Nearly 2M CCP members embedded in western institutions https://rumble.com/vbwm19-report-nearly-2m-ccp-members-embedded-in-western-institutions.html… #OANNReport: Nearly 2M CCP members embedded in western institutions
A new leak shows the Chinese Communist Party has infiltrated the west with nearly 2 million of its members. One America's Hans Hubbard reports.
rumble.com",111,1.2K,2.8K
One America News,@OANN,2020-12-15T14:58:18.000Z,"Good morning! Tune in to One America News for the latest!

(Photo: The Pfizer Global Supply Kalamazoo manufacturing plant is shown in Portage, Mich. The U.S. gave the final go-ahead Friday to the nation’s first COVID-19 vaccine. -- Paul Sancya via AP) #OANN",49,136,951
Greta Wall,@GretaLWall,2020-12-15T14:31:34.000Z,#MarketWatch Wall St opens higher on stimulus optimism,25,58,725
Christina Bobb,@christina_bobb,2020-12-15T01:48:03.000Z,"Art. 2 sec 1 clause 2 of the US Constitution says that ""asshats on Twitter shall appoint electors for each state.""  Oh wait.  No it doesn't...it's the state legislatures, and they're still subpoenaing evidence.  So, stand by.",1K,7.5K,28.1K
Alex Salvi,@alexsalvinews,2020-12-15T01:43:44.000Z,"Tonight on After Hours on 
@OANN
:

2020 Election & Joe Biden - 
@LizRNC
 
Uncovered Stories - 
@adamguillette
 
Student Loans - 
@opheliejacobson
 
GOP Energy Perspective - 
@mpischea
 

Tune in at 10:00pm ET / 7:00pm PT!0:25
56.5K views",39,115,695
Alex Salvi,@alexsalvinews,2020-12-15T01:36:12.000Z,"Republicans in 6 states won by Biden cast votes for Pres. Trump. Why?

It’s a procedural move to preserve any future legal claims.

The deadline for electoral college votes to be cast: December 14th.

If a court rules in favor of Pres. Trump, votes would meet the legal deadline.",170,1.1K,7.8K
Christina Bobb,@christina_bobb,2020-12-15T00:40:22.000Z,"Perfect timingQuote Tweet
Donald J. Trump
@realDonaldTrump
 · Dec 14
Just had a very nice meeting with Attorney General Bill Barr at the White House. Our relationship has been a very good one, he has done an outstanding job! As per letter, Bill will be leaving just before Christmas to spend the holidays with his family...
Show this thread",123,356,3.7K
Jennifer Franco,@jennfranconews,2020-12-14T22:50:01.000Z,BREAKING: Attorney General William Barr is resigning from his post. President Trump says Deputy Attorney General Jeff Rosen will take over in an acting capacity.,256,947,5K
Jennifer Franco,@jennfranconews,2020-12-14T22:39:15.000Z,BREAKING: Joe Biden has cleared the 270-electoral-vote mark to formalize his presidential victory with California’s 55 votes. (Per AP),607,161,419
Alex Salvi,@alexsalvinews,2020-12-14T22:44:26.000Z,"BREAKING: Pres. Trump says Attorney General Bill Barr is leaving his post.Quote Tweet
Donald J. Trump
@realDonaldTrump
 · Dec 14
Just had a very nice meeting with Attorney General Bill Barr at the White House. Our relationship has been a very good one, he has done an outstanding job! As per letter, Bill will be leaving just before Christmas to spend the holidays with his family...
Show this thread",94,379,3.2K
One America News,@OANN,2020-12-14T22:19:58.000Z,"Nigerian parents slam gov’t inaction after 300 students abducted from local school - https://oann.com/nigerian-parents-slam-government-inaction-after-300-students-abducted-from-local-school/… #OANNNigerian parents slam gov't inaction after 300 students abducted
Parents in Nigeria said the government failed to act quickly after 300 students were reportedly abducted from a local school.The incident happened Friday.
oann.com",55,349,916
Christina Bobb,@christina_bobb,2020-12-14T22:06:07.000Z,"MI GOP electors did cast their votes for 
@realDonaldTrump
.  There’s a lot of people saying they didn’t.  That’s misinformation.  They weren’t allowed in the building, but they 100% cast their votes.",959,9.9K,38.4K
Stephanie Hamill,@STEPHMHAMILL,2020-12-14T21:50:50.000Z,"Tune in to ""In Focus"" on 
@OANN
 at 6PME
We have a lot of great guests & so much to talk about! 
@TeamTrump
 Legal Team’s 
@JennaEllisEsq
, 
@KayaJones
, 
@SheriffBianco
, 
@petereoff
 & more join me! 

See you soon! ",148,586,2.9K
One America News,@OANN,2020-12-14T21:58:45.000Z,"Operation Warp Speed looking toward vaccine expansion - https://oann.com/operation-warp-speed-looking-toward-vaccine-expansion/… #OANNOperation Warp Speed looking toward vaccine expansion | One America Ne
The Trump administration said its working with Pfizer to expand the number of COVID-19 vaccine doses for Americans. During a press conference Monday, members of Operation Warp Speed gave an update on
oann.com",27,108,687
Christina Bobb,@christina_bobb,2020-12-14T20:27:13.000Z,Forensics exam in MI: “our examination demonstrated a significant change in voter results using two different programs.”,129,1.6K,8.2K
Christina Bobb,@christina_bobb,2020-12-14T20:22:26.000Z,"GOP electors in PA, MI, GA, WI, and NM have all cast their votes for 
@realDonaldTrump",911,5.1K,18.7K
One America News,@OANN,2020-12-14T20:12:57.000Z,"Electoral College to officially vote Dec 14., President vows legal team still has resources to fight fraud - https://oann.com/electoral-college-to-officially-vote-dec-14-president-vows-legal-team-still-has-resources-to-fight-fraud/… #OANNElectoral College to officially vote Dec 14., President vows legal tea
The Trump administration has vowed to continue pursuing legal challenges against election results as the Electoral College is scheduled to vote this week.
oann.com",78,395,2.6K
One America News,@OANN,2020-12-14T20:12:24.000Z,"Sen. David Perdue calls out Jon Ossoff over out of state campaign donations - https://oann.com/sen-david-perdue-calls-out-jon-ossoff-over-out-of-state-campaign-donations/… #OANNSen. David Perdue calls out Jon Ossoff over out of state campaign dona
Sen. David Perdue attacked his opponent Jon Ossoff and Kelly Loeffler's opponent Rafael Warnock for taking the majority of their funding from out of state donors. It's a strategy for Georgia
oann.com",42,329,1.4K
Christina Bobb,@christina_bobb,2020-12-14T20:02:38.000Z,The Dominion audit showed “clear evidence of software generated movement of votes.  The claims made on the [MI] Office of the Sec of State website were false.”,90,1K,4.3K
Christina Bobb,@christina_bobb,2020-12-14T19:50:38.000Z,"My good friend, 
@BorisEP
, giving me props on my own show. Thanks, Boris!0:16
39.6K views",45,134,916
One America News,@OANN,2020-12-14T19:38:57.000Z,"Rep. Biggs rejects HBCU regulation bill - https://oann.com/rep-biggs-rejects-hbcu-regulation-bill/… #OANNRep. Biggs rejects HBCU regulation bill | One America News Network
Arizona Rep. Andy Biggs (R) is criticizing a bill regulating federal investments in historically black colleges and universities. On Sunday, the congressman tweeted an explanation for his vote against
oann.com",18,95,490
Christina Bobb,@christina_bobb,2020-12-14T19:38:50.000Z,"On Nov 21, 2020, an unauthorized user unsuccessfully attempted to zero out election results. #tamperingwithevidence",58,898,3.4K
Christina Bobb,@christina_bobb,2020-12-14T19:36:15.000Z,"Removal of these records had to be done manually.Quote Tweet
Christina Bobb
@christina_bobb
 · Dec 14
“The computer system shows vote adjudication logs for prior years; but all adjudication log entries for the 2020 election cycle are missing.”",70,717,2.5K
Christina Bobb,@christina_bobb,2020-12-14T19:32:35.000Z,“The computer system shows vote adjudication logs for prior years; but all adjudication log entries for the 2020 election cycle are missing.”,207,1.6K,6.2K
Christina Bobb,@christina_bobb,2020-12-14T19:29:57.000Z,"“Attributing these issues to human error is not consistent with the forensic evaluation, which points to systemic machine and or software errors.  The systemic errors are intentionality designed to create errors in order to push a high volume of ballots to bulk adjudication.”",56,655,3K
One America News,@OANN,2020-12-14T19:26:07.000Z,"Big Tech, MSM attempt to snuff out Hunter Biden investigation - https://oann.com/big-tech-msm-attempt-to-snuff-out-hunter-biden-investigation/… #OANNBig Tech, MSM attempt to snuff out Hunter Biden investigation | One Am
The mainstream media is being exposed for attempting to kill the New York Post's article on Hunter Biden. Following the release of the article, mainstream news outlets began pumping out stories a
oann.com",76,645,2K
Christina Bobb,@christina_bobb,2020-12-14T18:45:12.000Z,"Christina Bobb: Why are Republicans staying quiet?!Christina Bobb: Why Republicans are staying quiet
Christina Bobb discusses the additional states that have joined Texas’ lawsuit and Republicans going against the Constitution.
rumble.com",169,491,2K
Christina Bobb,@christina_bobb,2020-12-14T18:42:51.000Z,"Christina Bobb: Biden thinks he’s contributing to societyChristina Bobb: Biden thinks he’s contributing to society
Christina Bobb discusses Joe Biden trying to take credit for President Trump’s efforts regarding the COVID-19 vaccine.
rumble.com",59,220,1K
