Username,Handle,Timestamp,Comments,Likes,Retweets,Text
Donald J. Trump,@realDonaldTrump,2020-12-16T04:16:19.000Z,"Franklin Graham: ‘I Am Grateful to God’ for ‘the Last Four Years’ https://breitbart.com/politics/2020/12/15/franklin-graham-i-am-grateful-to-god-for-the-last-four-years/… via 
@BreitbartNews
 Thank you Franklin!Franklin Graham: ‘I Am Grateful to God’ for ‘the Last Four Years’
Franklin Graham said he is grateful for the last four years, and what Donald Trump has done for Americans who stand for life and freedom.
breitbart.com",13.7K,22.8K,133.4K
Wes Rapaport,@wesrap,2020-12-14T20:51:02.000Z,All of the 38 electoral college votes for Texas go to Donald Trump. #txlege,10K,18.1K,101.8K
Donald J. Trump,@realDonaldTrump,2020-12-16T01:05:47.000Z,"Because of corruption or because I won despite corruption?This claim about election fraud is disputed
Quote Tweet
Alexandra Samuels
@AlexSamuelsx5
 · Dec 14
New: Texas electors vote 34-4 to call on Legislatures in Pennsylvania, Georgia, Michigan and Wisconsin — whose election results handed the White House @JoeBiden — to appoint their own electors.",27.5K,33.9K,157.3K
Donald J. Trump,@realDonaldTrump,2020-12-15T16:00:53.000Z,"Mo Brooks: ‘Trump Won the Electoral College‘ --- I Can Be a Part of the ‘Surrender Caucus‘ or I Can Fight for Our Country https://breitbart.com/clips/2020/12/15/mo-brooks-trump-won-the-electoral-college-i-can-be-a-part-of-the-surrender-caucus-or-i-can-fight-for-our-country/… via 
@BreitbartNewsMultiple sources called this election differently
Mo Brooks: 'Trump Won the Electoral College' --- I Can Be a Part of the 'Surrender Caucus' or I Can...
Monday during an appearance on FBN's ""Lou Dobbs Tonight,"" Rep. Mo Brooks (R-AL) vowed not to go down without a fight despite states having certified Electoral College results earlier in the day,...
breitbart.com",40.9K,52K,187K
Donald J. Trump,@realDonaldTrump,2020-12-15T15:41:41.000Z,Tremendous evidence pouring in on voter fraud. There has never been anything like this in our Country!This claim about election fraud is disputed,98.9K,98.3K,419.8K
Lin Wood,@LLinWood,2020-12-15T05:19:50.000Z,"President Trump 
@realDonaldTrump
 is a genuinely good man. He does not really like to fire people. I bet he dislikes putting people in jail, especially “Republicans.”

He gave 
@BrianKempGA
 & 
@GaSecofState
 every chance to get it right. They refused. They will soon be going to jail.",27.6K,44.7K,134K
Matt Couch,@RealMattCouch,2020-12-15T05:35:27.000Z,"The President needs to hold a press conference right after Biden speaks every single time and remind them he’s the rightful President and Winner! 

Destroy his lies every single time!",17.1K,21.4K,103.7K
Matt Couch,@RealMattCouch,2020-12-15T07:54:10.000Z,"REPORT: Dominion Server Crash Delays Recount in Georgia’s Fulton County for THIRD TIME! https://thedcpatriot.com/report-dominion-server-crash-delays-recount-in-georgias-fulton-county-for-third-time/… via 
@realmattcouchThis claim about election fraud is disputed
REPORT: Dominion Server Crash Delays Recount in Georgia’s Fulton County for THIRD TIME!
Surprise, Surprise, Surprise.... Election officials in Georgia’s Fulton County told a local news outlet Sunday that a newly purchased Dominion Voting Systems mobile server crashed that delayed the...
thedcpatriot.com",4.6K,18.1K,59.6K
Matt Couch,@RealMattCouch,2020-12-15T06:46:06.000Z,"EXCLUSIVE: Whistleblower Reveals FRAUD in Detroit, Affidavit & Interview INSIDEThis claim about election fraud is disputed
EXCLUSIVE: Whistleblower Reveals FRAUD in Detroit, Affidavit & Interview INSIDE
Well look what we have here America, yet another whistleblower has came forward to speak up about voter fraud in the 2020 elections. This time…
thedcpatriot.com",3.3K,15K,52.2K
Donald J. Trump,@realDonaldTrump,2020-12-15T14:25:27.000Z,"68% error rate in Michigan Voting Machines. Should be, by law, a tiny percentage of one percent. Did Michigan Secretary of State break the law? Stay tuned!This claim about election fraud is disputed",35.7K,77.7K,332.7K
Donald J. Trump,@realDonaldTrump,2020-12-15T14:21:48.000Z,"Tremendous problems being found with voting machines. They are so far off it is ridiculous. Able to take a landslide victory and reduce it to a tight loss. This is not what the USA is all about. Law enforcement shielding machines. DO NOT TAMPER, a crime. Much more to come!This claim about election fraud is disputed",31.2K,68.2K,274.9K
Wes Rapaport,@wesrap,2020-12-15T01:03:23.000Z,"TX's presidential electors voted 34-4 to ""condemn"" the Supreme Court rejecting TX's election lawsuit against PA, WI, GA & MI & called for the state legislatures of those states to ""convene and appoint their electors in accordance with the true constitutional vote of the people..""",12.4K,21.7K,91.6K
Wes Rapaport,@wesrap,2020-12-15T01:12:48.000Z,"TX presidential electors cast all 38 votes for Trump & Pence... they also voted to ""condemn"" SCOTUS tossing out TX election lawsuit. #txlegeTexas electors vote to cast all 38 votes for President Trump, approve resolution condemning Supreme...
Presidential electors are meeting across the United States on Monday to formally choose Joe Biden as the nation’s next president. In Texas, that meeting will happen at 2 p.m. at the Texas Sta…
kxan.com",6.3K,20.5K,80.6K
Donald J. Trump,@realDonaldTrump,2020-12-14T22:39:05.000Z,"...Deputy Attorney General Jeff Rosen, an outstanding person, will become Acting Attorney General. Highly respected Richard Donoghue will be taking over the duties of Deputy Attorney General. Thank you to all!",21.3K,40.1K,165.7K
The Washington Times,@WashTimes,2020-12-14T17:54:29.000Z,"CHULEY OPINION: Forensic auditors find shocking 68% error rate in one Michigan county’s votes - https://go.shr.lc/2Ktt300 - 
@washtimes
 ""Oops. Big oops. In fact, the system was found to be ""purposefully designed w/ inherent errors to create systemic fraud and influence ... results.”Forensic auditors find shocking 68% error rate in one Michigan county&
The personnel of Allied Security Operations Group -- a team of defense, military, Secret Service and intelligence professionals, led in part by an academic from Harvard with expertise in business and
washingtontimes.com",10.6K,26.5K,70.5K
Donald J. Trump,@realDonaldTrump,2020-12-14T19:59:09.000Z,"WOW. This report shows massive fraud. Election changing result!This claim about election fraud is disputed
Quote Tweet
Detroit Free Press
@freep
 · Dec 14
BREAKING: Judge orders release of report examining Antrim County vote tabulators https://freep.com/story/news/politics/elections/2020/12/14/judge-orders-release-report-examining-antrim-county-vote-tabulators/6537004002/…",54.5K,67K,241.9K
Donald J. Trump,@realDonaldTrump,2020-12-13T22:49:39.000Z,"Swing States that have found massive VOTER FRAUD, which is all of them, CANNOT LEGALLY CERTIFY these votes as complete & correct without committing a severely punishable crime. Everybody knows that dead people, below age people, illegal immigrants, fake signatures, prisoners,....This claim about election fraud is disputed",45.6K,71.4K,257.1K
Donald J. Trump,@realDonaldTrump,2020-12-13T22:49:39.000Z,".....and many others voted illegally. Also, machine “glitches” (another word for FRAUD), ballot harvesting, non-resident voters, fake ballots, “stuffing the ballot box”, votes for pay, roughed up Republican Poll Watchers, and sometimes even more votes than people voting, took....This claim about election fraud is disputed",10.9K,34K,162.5K
