Username,Handle,Timestamp,Comments,Likes,Retweets,Text
Donald J. Trump,@realDonaldTrump,2020-12-08T00:50:44.000Z,"RINOS 
@BrianKempGA
, 
@GeoffDuncanGA
, & Secretary of State Brad Raffensperger, will be solely responsible for the potential loss of our two GREAT Senators from Georgia, 
@sendavidperdue
 & 
@KLoeffler
. Won’t call a Special Session or check for Signature Verification! People are ANGRY!",19.7K,39.8K,142.7K
Donald J. Trump,@realDonaldTrump,2020-12-07T22:05:40.000Z,,7.8K,20K,111.4K
Donald J. Trump,@realDonaldTrump,2020-12-07T18:43:30.000Z,"From 
Team Trump (Text TRUMP to 88022)",11.2K,21.1K,118.8K
Burt Jones,@burtjonesforga,2020-12-07T16:26:57.000Z,"Georgia Patriot Call to Action: today is the day we need you to call your state Senate & House Reps & ask them to sign the petition for a special session. We must have free & fair elections in GA & a this is our only path to ensuring every legal vote is counted. 
@realDonaldTrump",9.9K,23.3K,74.4K
Donald J. Trump,@realDonaldTrump,2020-12-07T16:30:14.000Z,"Proclamation on National Pearl Harbor Remembrance Day, 2020 | The White House
On the morning of December 7, 1941, Imperial Japanese forces ambushed the Naval Station Pearl Harbor on the Hawaiian island of Oahu. Tragically, 2,403 Amer
whitehouse.gov",7.3K,25.6K,122.1K
Donald J. Trump,@realDonaldTrump,2020-12-07T15:37:34.000Z,"The Republican Governor of Georgia refuses to do signature verification, which would give us an easy win. What’s wrong with this guy? What is he hiding?This claim about election fraud is disputed",57.6K,79.7K,317K
Donald J. Trump,@realDonaldTrump,2020-12-07T01:40:33.000Z,"SO TRUE. NO WAY WE LOST THIS ELECTION!Multiple sources called this election differently
Quote Tweet
Mark R. Levin
@marklevinshow
 · Dec 6
A MUST-SEE Life, Liberty & Levin at 8 PM eastern tonight on Fox!  Please do NOT miss it, from beginning to end!  If you can’t watch Live, please be sure to DVR the show!  It is an essential episode!  See you then!  God bless!",31K,45.3K,163.8K
Donald J. Trump,@realDonaldTrump,2020-12-07T00:14:00.000Z,"A MUST WATCH! Hope the lawyers are all taking notes. All FACTS, do not flag this Twitter!Quote Tweet
Newsmax
@newsmax
 · Dec 6
While Trump had an army of support, Benny says Biden's ""win"" had to have been a Christmas Miracle. 
 @bennyjohnson http://nws.mx/tv
5:49
1.5M views
This claim about election fraud is disputed",22.3K,53.2K,156.5K
Donald J. Trump,@realDonaldTrump,2020-12-07T02:37:59.000Z,"0:56
397.8K views
From 
Team Trump (Text TRUMP to 88022)
This claim about election fraud is disputed",4.9K,20.7K,82.2K
Donald J. Trump,@realDonaldTrump,2020-12-07T02:37:51.000Z,"0:55
273.5K views
From 
Team Trump (Text TRUMP to 88022)
This claim about election fraud is disputed",2.7K,16.6K,70.5K
Donald J. Trump,@realDonaldTrump,2020-12-07T02:37:35.000Z,"9:45
784.8K views
From 
Team Trump (Text TRUMP to 88022)
This claim about election fraud is disputed",4.1K,23.2K,85.3K
Greg Kelly,@gregkellyusa,2020-12-07T00:24:58.000Z,"What Happened Reverend in that situation with CHILD ABUSE ????  Wow.  He DISRESPECTS KIDS AND COPS.  
@KLoeffler
 is not only WINNING she’s CRUSHING this guy",3.2K,10.5K,42.6K
Donald J. Trump,@realDonaldTrump,2020-12-07T02:01:28.000Z,"True. Great debate for Kelly!Quote Tweet
Dr.Darrell Scott
@PastorDScott
 · Dec 6
My friend Senator Kelly Loeffler is KILLING radical liberal Raphael Warnock!!!",8.8K,17.2K,105.1K
Melania Trump,@FLOTUS,2020-12-06T19:21:17.000Z,"The 
@WhiteHouse
 Cross Hall & Grand Foyer overflow with love, joy, peace, hope & faith, revealing the most important gifts of the season. The scene reminds us of the many blessings in our own lives & how grateful we are to call this beautiful land our home. #WHChristmas",14.2K,24.1K,140.1K
Melania Trump,@FLOTUS,2020-12-06T21:45:25.000Z,"Lighting the National Christmas Tree is one of America's oldest holiday traditions. 
@POTUS
 & I were honored to virtually join 
@NatlParkService
 & 
@NationalParkFdn
 for their 98th Annual Tree Lighting Ceremony.",4.2K,14.4K,78.6K
Donald J. Trump,@realDonaldTrump,2020-12-06T20:16:05.000Z,".
@RudyGiuliani
, by far the greatest mayor in the history of NYC, and who has been working tirelessly exposing the most corrupt election (by far!) in the history of the USA, has tested positive for the China Virus. Get better soon Rudy, we will carry on!!!",74.7K,77K,329.8K
Donald J. Trump,@realDonaldTrump,2020-12-06T19:55:10.000Z,"Interesting!Quote Tweet
Scott Adams
@ScottAdamsSays
 · Dec 6
This is a no-brainer. Obviously we have to do this, under the national security umbrella. twitter.com/MichaelCoudrey…",6.6K,22.8K,92.7K
Donald J. Trump,@realDonaldTrump,2020-12-06T19:52:48.000Z,"Will not happen. Suppression of thought!Quote Tweet
Scott Adams
@ScottAdamsSays
 · Dec 6
Still waiting. Can we at least get signs of life from the media? Are they still alive and working? twitter.com/ScottAdamsSays…",5.3K,17.8K,86K
Scott Adams,@ScottAdamsSays,2020-12-06T16:23:06.000Z,"Fact check this. Real?Quote Tweet
Robb Hurst, CPA
@robbhurstCPA
 · Dec 6
Ware County, Ga has broken the Dominion algorithm:

Using sequestered Dominion Equipment, Ware County ran a equal number of Trump votes and Biden votes through the Tabulator and the Tabulator reported a 26% lead for Biden.
Show this thread
This claim about election fraud is disputed",3.3K,11.5K,40K
Donald J. Trump,@realDonaldTrump,2020-12-06T19:13:15.000Z,"...I WON THE ELECTION, BIG.This claim about election fraud is disputed
Quote Tweet
Scott Adams
@ScottAdamsSays
 · Dec 6
None of the election fraud history matter. None of the current election fraud allegations matter. What matters is that ballot counting transparency was denied by force in key cities. That's the end of the Republic (literally) and more than enough reason to toss out the election. twitter.com/maxxoutrage/st…
This claim about election fraud is disputed",29.7K,39K,153.5K
The Plot Against the President,@PATPmovie,2020-10-23T21:12:20.000Z,"Our new trailer! The Plot Against The President in 2mins & 20!!!
Full movie on Amazon:

https://amazon.com/Plot-Against-President-Devin-Nunes/dp/B08LMJ93LL…2:13
1.8M views",3.8K,24.5K,49.4K
Donald J. Trump,@realDonaldTrump,2020-12-06T18:49:13.000Z,".
@FoxNews
 daytime is not watchable. In a class with CNN & MSDNC. Check out 
@OANN
, 
@newsmax
 and others that are picking up the slack. Even a boring football game, kneeling and all, is better!",24.6K,36.7K,178.1K
Matt Whitlock,@mattdizwhitlock,2020-12-04T00:05:16.000Z,"""Ossoff is a baby-faced trust fund socialist who will be a Schumer puppet. Raphael Warnock is a Jeremiah Wright loving gun-grabber."" 

-
@JesseBWatters
 on the Georgia run-offs. #GAsen #GApol",7.1K,12.3K,39K
Rep. Jim Jordan,@Jim_Jordan,2020-12-05T16:24:53.000Z,"Durham confirms what we already knew. 

James Comey’s FBI was out to get President Trump.Quote Tweet
Catherine Herridge
@CBS_Herridge
 · Dec 4
NEW #Durham Special Counsel Durham writes ""political or personal bias may have motivated or contributed"" to actions of former FBI lawyer who altered CIA email to renew 2017 surveillance @carterwpage Durham seeks jail time for Kevin Clinesmith who altered to falsely state former
Show this thread",11.8K,24.7K,74.1K
Jake Schneider,@jacobkschneider,2020-12-06T00:31:27.000Z,"That's our President 
@realDonaldTrump
 ",11.3K,17.3K,71.8K
Team Trump (Text TRUMP to 88022),@TeamTrump,2020-12-06T00:33:11.000Z,"President 
@realDonaldTrump
: We say MERRY CHRISTMAS proudly again!",7.4K,14.1K,66.2K
Team Trump (Text TRUMP to 88022),@TeamTrump,2020-12-06T00:34:56.000Z,"President 
@realDonaldTrump
: Vaccines are on their way starting next week!",3.7K,8K,45.7K
Team Trump (Text TRUMP to 88022),@TeamTrump,2020-12-06T00:39:31.000Z,"President 
@realDonaldTrump
: We are gathered here to ensure that 
@Perduesenate
 and 
@KLoeffler
 win",2.1K,8.1K,40.7K
Team Trump (Text TRUMP to 88022),@TeamTrump,2020-12-06T01:30:37.000Z,"President 
@realDonaldTrump
: Senator 
@KLoeffler
 “has been an exceptional champion for Georgia workers and families”",1.1K,6.4K,32.4K
Donald J. Trump,@realDonaldTrump,2020-12-06T06:15:55.000Z,"And getting a total pass from the media!Quote Tweet
Team Trump (Text TRUMP to 88022)
@TeamTrump
 · Dec 5
President @realDonaldTrump on Hunter Biden: ""He was a human vacuum cleaner,"" stealing money from countries",9.3K,21.7K,101.3K
Team Trump (Text TRUMP to 88022),@TeamTrump,2020-12-06T01:06:14.000Z,"President 
@realDonaldTrump
: Radical Democrats will destroy America forever by abolishing filibuster, opening borders, confiscating guns, and packing Supreme Court",1.8K,8.5K,35.6K
Mike Hahn,@mikehahn_,2020-12-06T00:11:59.000Z,"This is a movement. 

It's not going anywhere.",6.1K,14.8K,54.4K
Team Trump (Text TRUMP to 88022),@TeamTrump,2020-12-06T02:09:17.000Z,"We will not bend. 

We will not break. 

We will not yield. 

We will never give in.

We will never give up.

We will never back down.

We will NEVER, ever surrender!",7.4K,30.3K,111.6K
Donald J. Trump,@realDonaldTrump,2020-12-06T06:11:37.000Z,"Thank you Matt!Quote Tweet
Matt Wolking
@MattWolking
 · Dec 5
Easily one of the greatest presidents this country has ever seen twitter.com/jasonmillerind…",6.1K,14.4K,110.6K
Kayleigh McEnany,@kayleighmcenany,2020-12-06T00:20:14.000Z,"President 
@realDonaldTrump
 & First Lady 
@MELANIATRUMP
 take the stage in Valdosta, Georgia0:10
1.3M views",6.1K,20K,108.7K
Ken Buck,@BuckForColorado,2020-12-06T01:23:19.000Z,"Thank you 
@RealDonaldTrump
 for making the case in Georgia! Keeping the 2 Senate seats in #GOP control means we can stop the radical leftist agenda.Georgia is our last defense against Democrats' growing extremism
House Speaker Nancy Pelosi and Senate Minority Leader Chuck Schumer are not being shy about the big plans they have for America next year.
washingtonexaminer.com",2K,8.2K,36.9K
Team Trump (Text TRUMP to 88022),@TeamTrump,2020-12-06T00:15:59.000Z,"LIVE: President Trump in Valdosta, GA #Valdosta #GeorgiaThis claim about election fraud is disputed
Team Trump (Text TRUMP to 88022)
@TeamTrump
LIVE: President Trump in Valdosta, GA #Valdosta #Georgia",2.9K,12K,48.7K
One America News,@OANN,2020-12-03T20:09:11.000Z,"How compromised was the 2020 election? Dominion Voting Systems has had a history of problems. Stolen laptops, “switched” votes, Clinton ties, Antifa CEOs, undeniable data! 

Join One America’s 
@ChanelRion
 for this exclusive investigation! #OANNThis claim about election fraud is disputed",1.3K,8.8K,27.9K
Jim Hoft,@gatewaypundit,2020-12-03T20:20:33.000Z,"BOOM: President Trump Is On Target In Wisconsin - Ballots Identified in Pristine Condition Similar to Fraudulent Ballots in Georgia and Michigan via 
@gatewaypunditThis claim about election fraud is disputed
BOOM: President Trump Is On Target In Wisconsin - Ballots Identified in Pristine Condition Similar...
President Trump’s team’s recent lawsuit in Wisconsin must be over the target.  Is this why a Madison, Wisconsin Attorney pushed back and threatened Gateway Pundit after our reporting on absentee and...
thegatewaypundit.com",1.4K,13.3K,38.5K
Victoria Toensing,@VicToensing,2020-12-03T22:44:01.000Z,"See Prof. John Eastman 12/3/20 testimony b/4 Georgia legislature re  US Constitutional authority of STATE legislatures to decide presidential electors when officials violate state election law, eg not allowing Republicans to view vote count or verify signatures. #maga",933,7.8K,28.8K
Donald J. Trump,@realDonaldTrump,2020-12-06T06:02:36.000Z,"Melissa is great!Quote Tweet
Kyle Becker
@kylenabecker
 · Dec 1
DOMINION.
""What I witnessed at the TCF center was complete f****.""

""There was batches of ballots being ran through the tabulating machines numerous times. Being counted 8-10 TIMES.""

Dominion contractor Melissa Carone EXPOSES this election fiasco at #MichiganHearing. WATCH:",10.6K,29.4K,124.1K
Donald J. Trump,@realDonaldTrump,2020-12-06T05:55:57.000Z,"Thank you!Quote Tweet
Leo Biasiucci
@Leo4AzHouse
 · Dec 4
Every single elected official should be fighting to make sure our elections are secure. If they are staying silent, you should ask them why. 
 twitter.com/MarkFinchem/st…",2.1K,10.8K,66.6K
Donald J. Trump,@realDonaldTrump,2020-12-06T05:54:54.000Z,"Fraudulent result!This claim about election fraud is disputed
Quote Tweet
Christina Bobb
@christina_bobb
 · Dec 4
Will they invite the GOP to participate?  Or will this be a closed door “trust us we won’t lie” audit? twitter.com/alexsalvinews/…",3K,12.4K,64.2K
Christina Bobb,@christina_bobb,2020-12-04T23:02:19.000Z,"Rusty Bowers is intentionally misleading the people of Arizona to avoid the inevitable.  
@realDonaldTrump
 won his state and he’s trying to avoid declaring him the winner.Quote Tweet
Ali
#StopTheSteal
@ali
 · Dec 4
I need 50,000 calls into Arizona right now. Right the heck now. 

Arizona Speaker Rusty Bowers starts backtracking already. Bastard! His Comms Dir is former Flake staffer.
 http://stopthesteal.us/az 

Tell him you’ll support his PRIMARY opponent if he betrays us! #StopTheSteaI",710,6.7K,21K
Christina Bobb,@christina_bobb,2020-12-05T02:40:36.000Z,"#truthQuote Tweet
Catturd ™
@catturd2
 · Dec 4
Why is Trump’s legal team doing the job of the FBI and DOJ?",1.2K,6.1K,31.2K
Donald J. Trump,@realDonaldTrump,2020-12-06T05:49:58.000Z,"Thank you Christina!Quote Tweet
Christina Bobb
@christina_bobb
 · Dec 5
President Trump is back on the campaign trail today!!!  America is the best country on earth and @realDonaldTrump is the greatest President!",3.3K,12.6K,95.1K
Christina Bobb,@christina_bobb,2020-12-05T16:21:46.000Z,"This election struggle is because of leaders, elected by We the People, who have now rigged elections to rob Americans of their right to elect leaders of our choice.  We gave them power and they are robbing us of ours.This claim about election fraud is disputed",1.8K,9.1K,38.7K
Donald J. Trump,@realDonaldTrump,2020-12-06T05:45:48.000Z,"***Live Updates*** Trump Holds Georgia Rally for Sens. Loeffler, Perdue https://breitbart.com/politics/2020/12/05/live-updates-trump-holds-georgia-rally-for-sens-loeffler-perdue/… via 
@BreitbartNews
. A great evening in beautiful Georgia!This claim about election fraud is disputed
***Live Updates*** Trump Holds Georgia Rally for Sens. Loeffler, Perdue
President Donald Trump will hold a Saturday evening rally in Valdosta, Georgia, for GOP Senators Kelly Loeffler and David Perdue ahead of next month’s critical run-off elections that will determine...
breitbart.com",3.1K,10.9K,55.9K
Donald J. Trump,@realDonaldTrump,2020-12-06T02:42:34.000Z,"0:31
3.4M views
From 
Team Trump (Text TRUMP to 88022)",10K,22.5K,99K
Donald J. Trump,@realDonaldTrump,2020-12-06T02:40:28.000Z,"The answer to the Democrat voter fraud is not to stay at home - that’s what Pelosi and Schumer want you to do. If you want revenge on the Democrats for their efforts to steal the Presidential election, where we are fighting hard, you have to show up and vote in RECORD numbers!This claim about election fraud is disputed",16.1K,47.1K,171.6K
Donald J. Trump,@realDonaldTrump,2020-12-06T02:38:00.000Z,"Register to vote before Monday 12/7. Register now on http://Georgia.gov, then request your absentee ballot before 12/31 - do it TODAY, and return your ballot the same day you get it. If you aren’t planning to vote by mail, vote early in person, or vote on Election Day!",9.3K,23.1K,100K
Donald J. Trump,@realDonaldTrump,2020-12-06T02:24:53.000Z,"From 
Team Trump (Text TRUMP to 88022)",4.7K,15.3K,75.8K
Donald J. Trump,@realDonaldTrump,2020-12-06T02:24:23.000Z,"From 
Team Trump (Text TRUMP to 88022)",5.6K,28.5K,81.8K
Donald J. Trump,@realDonaldTrump,2020-12-06T02:24:15.000Z,"From 
Team Trump (Text TRUMP to 88022)",2K,12.3K,69.4K
Donald J. Trump,@realDonaldTrump,2020-12-06T02:24:03.000Z,"From 
Team Trump (Text TRUMP to 88022)",1.9K,12K,64.1K
Donald J. Trump,@realDonaldTrump,2020-12-06T02:23:47.000Z,"From 
Team Trump (Text TRUMP to 88022)",1.9K,12K,63.5K
Donald J. Trump,@realDonaldTrump,2020-12-05T21:35:04.000Z,"But you never got the signature verification! Your people are refusing to do what you ask. What are they hiding? At least immediately ask for a Special Session of the Legislature. That you can easily, and immediately, do. #TransparencyQuote Tweet
Brian Kemp
@BrianKempGA
 · Dec 5
As I told the President this morning, I’ve publicly called for a signature audit three times (11/20, 11/24, 12/3) to restore confidence in our election process and to ensure that only legal votes are counted in Georgia. #gapol twitter.com/realDonaldTrum…",15.9K,41.2K,137.1K
Donald J. Trump,@realDonaldTrump,2020-12-05T17:54:15.000Z,"25, wow! I am surprised there are so many. We have just begun to fight. Please send me a list of the 25 RINOS. I read the Fake News Washington Post as little as possible!Quote Tweet
Philip Rucker
@PhilipRucker
 · Dec 5
The Washington Post surveyed all 249 Republicans in the House and Senate. Only 25 would acknowledge that Joe Biden is president-elect. https://washingtonpost.com/politics/survey-who-won-election-republicans-congress/2020/12/04/1a1011f6-3650-11eb-8d38-6aea1adb3839_story.html…",32.8K,41.9K,146.4K
Donald J. Trump,@realDonaldTrump,2020-12-05T17:02:08.000Z,"I will easily & quickly win Georgia if Governor 
@BrianKempGA
 or the Secretary of State permit a simple signature verification. Has not been done and will show large scale discrepancies. Why are these two “Republicans” saying no? If we win Georgia, everything else falls in place!",48.9K,62.3K,255.1K
Donald J. Trump,@realDonaldTrump,2020-12-05T16:32:33.000Z,"See you tonight at 7PM, Georgia!",17.7K,35.1K,174K
Donald J. Trump,@realDonaldTrump,2020-12-05T02:43:00.000Z,"4:02
1.5M views
From 
Team Trump (Text TRUMP to 88022)
This claim about election fraud is disputed",15.7K,44.9K,151.8K
Donald J. Trump,@realDonaldTrump,2020-12-04T22:55:52.000Z,"2:25
1M views
From 
Team Trump (Text TRUMP to 88022)
This claim about election fraud is disputed",14K,39K,117.2K
Robert C. Cahaly,@RobertCahaly,2020-12-04T22:46:29.000Z,"Our 
@trafalgar_group
 #GASen #Runoff #Polls also shed some light on Georgia voters opinions of whether the #Presidential elections were compromised enough to change the outcome.  All voters 53.2% yes, 37.9% no, 8.9% unsure.  GOP voters 74.6% yes, 15.9% no, 9.5% unsure.",3.8K,11K,37.6K
Donald J. Trump,@realDonaldTrump,2020-12-05T03:05:40.000Z,"8:16
669.3K views
From 
Team Trump (Text TRUMP to 88022)
This claim about election fraud is disputed",8.5K,21.6K,84.8K
Donald J. Trump,@realDonaldTrump,2020-12-05T03:05:35.000Z,"3:04
1M views
From 
Team Trump (Text TRUMP to 88022)
This claim about election fraud is disputed",8.2K,26.1K,96K
Donald J. Trump,@realDonaldTrump,2020-12-05T02:44:12.000Z,"From 
Team Trump (Text TRUMP to 88022)",5.5K,24.3K,89.9K
Donald J. Trump,@realDonaldTrump,2020-12-04T22:42:57.000Z,"Watch 
@SeanHannity
 tonight at 9:00 P.M. Eastern — story on Voter Fraud!",16K,22.4K,127.7K
Donald J. Trump,@realDonaldTrump,2020-12-05T01:25:50.000Z,"3:49
703.8K views
From 
Team Trump (Text TRUMP to 88022)
This claim about election fraud is disputed",8.9K,25.3K,88.4K
Donald J. Trump,@realDonaldTrump,2020-12-04T23:23:53.000Z,"See you tomorrow night at 7PM, Valdosta, Georgia!Quote Tweet
Team Trump (Text TRUMP to 88022)
@TeamTrump
 · Dec 4
President @realDonaldTrump and @FLOTUS will be in Georgia TOMORROW!

Make sure you RSVP: http://bit.ly/39HEPhN",14.4K,28K,126.6K
Donald J. Trump,@realDonaldTrump,2020-12-04T04:37:16.000Z,"Very sadly for our Nation, it looks like Senator 
@JimInhofe
 will not be putting the Section 230 termination clause into the Defense Bill. So bad for our National Security and Election Integrity. Last chance to ever get it done. I will VETO!",28.1K,50.3K,213.4K
Donald J. Trump,@realDonaldTrump,2020-12-04T13:56:00.000Z,MAKE AMERICA GREAT AGAIN!,47.4K,63.5K,378.9K
Donald J. Trump,@realDonaldTrump,2020-12-04T13:55:25.000Z,RIGGED ELECTION!This claim about election fraud is disputed,46.7K,71.7K,359.8K
Donald J. Trump,@realDonaldTrump,2020-12-04T13:54:38.000Z,GET TOUGH REPUBLICANS!,18.4K,52.3K,287.7K
Donald J. Trump,@realDonaldTrump,2020-12-04T13:53:41.000Z,"A provision is in the NDAA for the renaming, or even desecration, of National Monuments in National Parks. This is not what our Country wants!",8.8K,27.6K,131.7K
Julie Kelly,@julie_kelly2,2020-12-02T23:43:39.000Z,"LOL keep the Senate red! “The bipartisan legislation not only omits language about Section 230, but also includes a provision that Trump opposes and has prompted a separate previous veto threat: renaming military bases which bear a Confederate name.”Trump veto threat sparks Republican revolt on defense bill in big win for Democrats
Senate Armed Services Committee Chairman Jim Inhofe said he informed the president that they were moving forward—without Trump's demand to strip legal protections for social media companies. The...
newsweek.com",2.6K,11K,42.4K
Donald J. Trump,@realDonaldTrump,2020-12-04T13:14:30.000Z,"Whistleblowers reveal that the USPS is responsible for tampering with hundreds of thousands of ballots. 
@OANN
  This long time Democrat stronghold got rid of massive numbers, especially in swing states, during and before delivery of the ballots. Well documented evidence!This claim about election fraud is disputed",21.3K,46.9K,167.9K
Donald J. Trump,@realDonaldTrump,2020-12-04T13:05:26.000Z,Big Rally Saturday Night in Georgia!!!,20.1K,42.3K,248.7K
Donald J. Trump,@realDonaldTrump,2020-12-04T13:04:32.000Z,"A great person who did a fantastic job. Thank you Alyssa!Quote Tweet
Jeremy Diamond
@JDiamond1
 · Dec 3
Confirmed: Alyssa Farah has resigned as White House communications director
She calls it ""the honor of a lifetime to serve in the Trump Administration"" and is ""deeply proud of the incredible things we were able to accomplish to make our country stronger, safer, and more secure.""",3.4K,13.1K,89.1K
Donald J. Trump,@realDonaldTrump,2020-12-04T05:57:19.000Z,"But doesn’t get rid of Big Tech’s windfall, Section 230, a grave threat to National Security. I will VETO!Quote Tweet
Sen. Jim Inhofe
@JimInhofe
 · Dec 3
Proud to announce the completion of the 60th Annual National Defense Authorization Act — a bill that champions our troops, supports our military families, and strengthens our national defense. #FY21NDAA
Show this thread",14.4K,25.8K,103.2K
Donald J. Trump,@realDonaldTrump,2020-12-04T04:09:56.000Z,"The best way to insure a 
@KLoeffler
 and 
@sendavidperdue
 VICTORY is to allow signature checks in the Presidential race, which will insure a Georgia Presidential win (very few votes are needed, many will be found). Spirits will soar and everyone will rush out and VOTE! 
@BrianKempGA",26.6K,44.2K,176.4K
Donald J. Trump,@realDonaldTrump,2020-12-04T01:28:26.000Z,"People in Georgia got caught cold bringing in massive numbers of ballots and putting them in “voting” machines. Great job 
@BrianKempGA
!This claim about election fraud is disputed",29.9K,69K,279.8K
Donald J. Trump,@realDonaldTrump,2020-12-04T01:15:47.000Z,"Governor 
@dougducey
 of Arizona hired a lawyer today. Wouldn’t allowing a strong check of ballots, which would be easier and so much better for our Country, be easier on him and the great State of Arizona?",17.9K,46.5K,190K
Donald J. Trump,@realDonaldTrump,2020-12-03T21:57:03.000Z,"“Nevada Court Hears Of USPS Witness Obstruction, Flawed Machine Inspections, And Deceased Voters”This claim about election fraud is disputed
Nevada Court Hears of USPS Witness Obstruction, Flawed Machine Inspections, and Deceased Voters
Since the election contest case was filed, a host of developments have occurred regarding officials receiving access to inspect voting systems and data
thenationalpulse.com",13K,32.5K,115K
Donald J. Trump,@realDonaldTrump,2020-12-03T21:32:41.000Z,"“Nevada 'fraud': 1,500 ‘dead’ voters, 42,248 voted ‘multiple times,’ RV camps as 'homes'”This claim about election fraud is disputed
Nevada 'fraud': 1,500 ‘dead’ voters, 42,248 voted ‘multiple times,’ RV camps as 'homes'
The Trump campaign on Wednesday unveiled a tranche of information it plans to present to a Nevada state court Thursday that suggests there were thousands of fraudulent votes cast — possibly enough to...
washingtonexaminer.com",15.2K,42.5K,134K
Donald J. Trump,@realDonaldTrump,2020-12-03T21:11:47.000Z,"“Dominion contractor at Detroit counting center says thousands of ballots were scanned multiple times”This claim about election fraud is disputed
Dominion contractor at Detroit counting center says thousands of ballots were scanned multiple times
Melissa Carone provided Tuesday evening testimony in Michigan
justthenews.com",14.7K,48.4K,147.5K
Donald J. Trump,@realDonaldTrump,2020-12-03T20:50:04.000Z,"“Pro-Biden effort offered Native Americans $25-$500 Visa gift cards and jewelry to vote”Pro-Biden effort offered Native Americans $25-$500 Visa gift cards and jewelry to vote
Key Native American leaders working with the Biden campaign offered tribal members and associates Visa gift cards, jewelry, and other “swag” to vote in the presidential election, according to several...
washingtonexaminer.com",14.6K,39.5K,109K
Donald J. Trump,@realDonaldTrump,2020-12-03T20:21:18.000Z,"Congratulations 
@CoachLouHoltz88
!",8.5K,21.1K,113K
Donald J. Trump,@realDonaldTrump,2020-12-03T19:01:39.000Z,"Wow! Blockbuster testimony taking place right now in Georgia. Ballot stuffing by Dems when Republicans were forced to leave the large counting room. Plenty more coming, but this alone leads to an easy win of the State!This claim about election fraud is disputed",29.1K,62.2K,235K
Team Trump (Text TRUMP to 88022),@TeamTrump,2020-12-03T18:44:57.000Z,"WATCH: Video footage from Georgia shows suitcases filled with ballots pulled from under a table AFTER supervisors told poll workers to leave room and 4 people stayed behind to keep counting votes1:35
2.2M views
This claim about election fraud is disputed",13.7K,70.7K,143.1K
Team Trump (Text TRUMP to 88022),@TeamTrump,2020-12-03T18:32:55.000Z,"Video footage from Georgia shows that poll workers were told to stop counting and leave, while 4 people stayed behind to continue counting ballots in private1:20
1.3M views
This claim about election fraud is disputed",3.8K,25.4K,67.2K
Donald J. Trump,@realDonaldTrump,2020-12-03T16:25:17.000Z,Thank you to Representative Mo Brooks!,8.6K,22.7K,197.3K
Donald J. Trump,@realDonaldTrump,2020-12-03T16:09:07.000Z,"Georgia hearings now on 
@OANN
. Amazing!",13.5K,28.8K,174.7K
Donald J. Trump,@realDonaldTrump,2020-12-03T15:31:39.000Z,"The “Republican” Governor of Georgia, 
@BrianKempGA
, and the Secretary of State, MUST immediately allow a signature verification match on the Presidential Election. If that happens, we quickly and easily win the State and importantly, pave the way for a big David and Kelly WIN!",16.1K,41K,167.1K
Donald J. Trump,@realDonaldTrump,2020-12-03T15:17:36.000Z,"Looks like certain Republican Senators are getting cold feet with respect to the termination of Big Tech’s Section 230, a National Security and Election Integrity MUST. For years, all talk, no action. Termination must be put in Defense Bill!!!",16K,49.8K,203.9K
Donald J. Trump,@realDonaldTrump,2020-12-03T04:21:12.000Z,"5:56
1M views
From 
Arizona Republican Party
This claim about election fraud is disputed",18.5K,70.6K,180.4K
Donald J. Trump,@realDonaldTrump,2020-12-03T02:45:35.000Z,"1:57
793.2K views
From 
Team Trump (Text TRUMP to 88022)
This claim about election fraud is disputed",10.5K,33.9K,116.5K
Donald J. Trump,@realDonaldTrump,2020-12-03T02:44:25.000Z,"1:30
834.6K views
From 
Team Trump (Text TRUMP to 88022)
This claim about election fraud is disputed",10K,33.1K,123.1K
Donald J. Trump,@realDonaldTrump,2020-12-02T23:43:50.000Z,"In Arizona, it turns out that 3% of the votes cast in the 100 count vote sampling were tainted or worse. This would be, if carried forward, approximately 90,000 votes more than we would need to win the State. Now we were granted a much larger sample to work with. Wow!This claim about election fraud is disputed",29.8K,66.9K,261.9K
RSBN,@RSBNetwork,2020-12-02T22:54:31.000Z,"Watch Live: 
@RudyGiuliani
 Appears Before Michigan House Oversight CommitteeRSBN
@RSBNetwork
Watch Live: @RudyGiuliani Appears Before Michigan House Oversight Committee
pscp.tv",5.1K,17.7K,57.1K
Donald J. Trump,@realDonaldTrump,2020-12-02T23:32:27.000Z,"HAPPENING NOW! 
@OANNQuote Tweet
One America News
@OANN
 · Dec 2
#TODAY: President Trump's legal team is set to hold a hearing in Mich. on election integrity. @OANN will provide full coverage starting at 6 p.m. EST / 3 p.m PST! #OANN",8.7K,20.2K,107.9K
Arizona Republican Party,@AZGOP,2020-12-02T16:00:01.000Z,"In today's update, Chairwoman 
@kelliwardaz
 announces the findings from our investigation of 100 duplicate ballots, in which TWO votes were discovered to have been altered and removed from President 
@realDonaldTrump
's total.2:19
686.9K views
This claim about election fraud is disputed",7.1K,21.2K,66.9K
Donald J. Trump,@realDonaldTrump,2020-12-02T20:56:29.000Z,"Statement by Donald J. Trump, The President of the United States

Full Video: https://fb.watch/27KawkLq3E/2:12
3.5M views
This claim about election fraud is disputed",98.3K,121.1K,311.1K
